time_s,p_fault,fault_bin
4.4980,0.999998,1
4.5070,0.999999,1
4.5180,0.999999,1
4.5270,0.999999,1
4.5370,0.999998,1
4.5470,0.999997,1
4.5570,0.999995,1
4.5680,0.999993,1
4.5770,0.999991,1
4.5870,0.999989,1
4.5970,0.999985,1
4.6070,0.999973,1
4.6180,0.999955,1
4.6270,0.999929,1
4.6370,0.999880,1
4.6470,0.999854,1
4.6570,0.999855,1
4.6680,0.999787,1
4.6770,0.999672,1
4.6870,0.999481,1
4.6970,0.999200,1
4.7080,0.998822,1
4.7170,0.998345,1
4.7280,0.997681,1
4.7370,0.996812,1
4.7480,0.995959,1
4.7580,0.995905,1
4.7670,0.995479,1
4.7780,0.994710,1
4.7870,0.993818,1
4.7980,0.994154,1
4.8070,0.993646,1
4.8170,0.992483,1
4.8270,0.991659,1
4.8370,0.992226,1
4.8480,0.993236,1
4.8580,0.993492,1
4.8680,0.993494,1
4.8770,0.994594,1
4.8880,0.994791,1
4.8980,0.994752,1
4.9080,0.995658,1
4.9170,0.997205,1
4.9270,0.997792,1
4.9380,0.998203,1
4.9480,0.998620,1
4.9580,0.998882,1
4.9670,0.999092,1
4.9780,0.999518,1
4.9870,0.999749,1
4.9970,0.999773,1
5.0080,0.999845,1
5.0170,0.999930,1
5.0270,0.999956,1
5.0370,0.999963,1
5.0480,0.999990,1
5.0580,0.999995,1
5.0670,0.999997,1
5.0770,0.999998,1
5.0870,0.999999,1
5.0980,1.000000,1
5.1070,1.000000,1
5.1170,1.000000,1
5.1270,1.000000,1
5.1380,1.000000,1
5.1480,1.000000,1
5.1580,1.000000,1
5.1680,1.000000,1
5.1770,1.000000,1
5.1880,1.000000,1
5.1980,1.000000,1
5.2070,1.000000,1
5.2180,1.000000,1
5.2280,1.000000,1
5.2380,1.000000,1
5.2480,1.000000,1
5.2580,1.000000,1
5.2680,1.000000,1
5.2780,1.000000,1
5.2880,1.000000,1
5.2980,1.000000,1
5.3070,1.000000,1
5.3180,1.000000,1
5.3280,1.000000,1
5.3380,1.000000,1
5.3480,1.000000,1
5.3570,1.000000,1
5.3680,1.000000,1
5.3770,1.000000,1
5.3880,1.000000,1
5.3980,1.000000,1
5.4080,1.000000,1
5.4180,1.000000,1
5.4280,1.000000,1
5.4380,1.000000,1
5.4480,1.000000,1
5.4580,1.000000,1
5.4670,1.000000,1
5.4780,1.000000,1
5.4880,1.000000,1
5.4980,1.000000,1
5.5080,1.000000,1
5.5180,1.000000,1
5.5280,1.000000,1
5.5380,1.000000,1
5.5480,1.000000,1
5.5580,1.000000,1
5.5680,1.000000,1
5.5780,1.000000,1
5.5880,1.000000,1
5.5980,1.000000,1
5.6080,0.999999,1
5.6180,0.999998,1
5.6280,0.999997,1
5.6380,0.999996,1
5.6480,0.999994,1
5.6610,0.999991,1
5.6680,0.999984,1
5.6780,0.999980,1
5.6900,0.999969,1
5.6980,0.999946,1
5.7080,0.999934,1
5.7180,0.999908,1
5.7280,0.999847,1
5.7380,0.999812,1
5.7490,0.999716,1
5.7590,0.999681,1
5.7680,0.999551,1
5.7780,0.999353,1
5.7880,0.999164,1
5.7980,0.999038,1
5.8080,0.998628,1
5.8180,0.998190,1
5.8280,0.997562,1
5.8380,0.997736,1
5.8480,0.997266,1
5.8580,0.997005,1
5.8680,0.995900,1
5.8780,0.994845,1
5.8880,0.993858,1
5.8980,0.993125,1
5.9080,0.991851,1
5.9180,0.991841,1
5.9280,0.990778,1
5.9380,0.988861,1
5.9480,0.987359,1
5.9580,0.988018,1
5.9680,0.987215,1
5.9780,0.991282,1
5.9880,0.989125,1
5.9980,0.986799,1
6.0080,0.987509,1
6.0180,0.986616,1
6.0280,0.985775,1
6.0380,0.988220,1
6.0480,0.985920,1
6.0580,0.985530,1
6.0680,0.984608,1
6.0780,0.982928,1
6.0880,0.985661,1
6.0980,0.985484,1
6.1080,0.988226,1
6.1180,0.990295,1
6.1280,0.991688,1
6.1380,0.991238,1
6.1480,0.989367,1
6.1580,0.988583,1
6.1680,0.988509,1
6.1780,0.989194,1
6.1880,0.989196,1
6.1980,0.988660,1
6.2080,0.986944,1
6.2180,0.985028,1
6.2280,0.984575,1
6.2380,0.982211,1
6.2480,0.979468,1
6.2580,0.975731,1
6.2680,0.972104,1
6.2780,0.968710,1
6.2880,0.964555,1
6.2980,0.959774,1
6.3080,0.953524,1
6.3180,0.945796,1
6.3280,0.937495,1
6.3380,0.928953,1
6.3480,0.921670,1
6.3580,0.910681,1
6.3680,0.904764,1
6.3780,0.895989,1
6.3880,0.916735,1
6.3980,0.913537,1
6.4080,0.913637,1
6.4180,0.913024,1
6.4280,0.899614,1
6.4380,0.914534,1
6.4480,0.910990,1
6.4580,0.914687,1
6.4680,0.926976,1
6.4780,0.930066,1
6.4880,0.933717,1
6.4980,0.935581,1
6.5080,0.942083,1
6.5180,0.949728,1
6.5280,0.959658,1
6.5380,0.964737,1
6.5480,0.966032,1
6.5580,0.971376,1
6.5680,0.976264,1
6.5780,0.984338,1
6.5880,0.989406,1
6.5980,0.995414,1
6.6080,0.996592,1
6.6180,0.998765,1
6.6280,0.999040,1
6.6380,0.999639,1
6.6480,0.999675,1
6.6580,0.999917,1
6.6680,0.999914,1
6.6780,0.999932,1
6.6880,0.999931,1
6.6980,0.999940,1
6.7080,0.999966,1
6.7180,0.999962,1
6.7280,0.999970,1
6.7380,0.999961,1
6.7480,0.999980,1
6.7580,0.999973,1
6.7680,0.999974,1
6.7780,0.999969,1
6.7880,0.999960,1
