time_s,p_fault,fault_bin
1.5598,0.991979,1
1.5698,0.992034,1
1.5798,0.991483,1
1.5898,0.990320,1
1.5998,0.989498,1
1.6193,0.988091,1
1.6199,0.986027,1
1.6297,0.983679,1
1.6397,0.981245,1
1.6498,0.977925,1
1.6597,0.973809,1
1.6699,0.969370,1
1.6798,0.964043,1
1.6898,0.957152,1
1.6999,0.949790,1
1.7195,0.941205,1
1.7204,0.930631,1
1.7298,0.920389,1
1.7399,0.908385,1
1.7498,0.894252,1
1.7598,0.879208,1
1.7698,0.861915,1
1.7798,0.846258,1
1.7851,0.829466,1
1.7998,0.810782,1
1.8196,0.792035,1
1.8205,0.771788,1
1.8288,0.751197,1
1.8387,0.733438,1
1.8488,0.714475,1
1.8587,0.708437,1
1.8689,0.702837,1
1.8788,0.685974,1
1.8888,0.668134,1
1.8989,0.660390,1
1.9181,0.653775,1
1.9187,0.639854,1
1.9288,0.623128,1
1.9388,0.606343,1
1.9489,0.586273,1
1.9588,0.565111,1
1.9688,0.545933,1
1.9788,0.530286,1
1.9888,0.512218,1
1.9989,0.496546,0
2.0183,0.484773,0
2.0189,0.462661,0
2.0289,0.446424,0
2.0389,0.455818,0
2.0489,0.459946,0
2.0589,0.474472,0
2.0688,0.486073,0
2.0787,0.499381,0
2.0887,0.524975,1
2.0987,0.585360,1
2.1159,0.670157,1
2.1187,0.788885,1
2.1288,0.884744,1
2.1388,0.950499,1
2.1488,0.980324,1
2.1588,0.994085,1
2.1689,0.997912,1
2.1788,0.999455,1
2.1888,0.999834,1
2.1989,0.999948,1
2.2182,0.999985,1
2.2188,0.999996,1
2.2289,0.999999,1
2.2388,1.000000,1
2.2488,1.000000,1
2.2588,1.000000,1
2.2689,1.000000,1
2.2788,1.000000,1
2.2890,1.000000,1
2.2988,1.000000,1
2.3162,1.000000,1
2.3188,1.000000,1
2.3289,1.000000,1
2.3388,1.000000,1
2.3488,1.000000,1
2.3588,1.000000,1
2.3688,1.000000,1
2.3788,1.000000,1
2.3888,1.000000,1
2.3988,1.000000,1
2.4180,1.000000,1
2.4188,1.000000,1
2.4287,1.000000,1
2.4387,1.000000,1
2.4489,1.000000,1
2.4588,1.000000,1
2.4688,1.000000,1
2.4788,1.000000,1
2.4888,1.000000,1
2.4988,1.000000,1
2.5156,1.000000,1
2.5187,1.000000,1
2.5288,1.000000,1
2.5389,1.000000,1
2.5488,1.000000,1
2.5589,1.000000,1
2.5688,1.000000,1
2.5789,1.000000,1
2.5889,1.000000,1
2.5989,1.000000,1
2.6181,1.000000,1
2.6187,1.000000,1
2.6289,1.000000,1
2.6388,1.000000,1
2.6489,1.000000,1
2.6589,1.000000,1
2.6689,1.000000,1
2.6789,0.999999,1
2.6889,0.999999,1
2.6989,0.999998,1
2.7180,0.999998,1
2.7190,0.999998,1
2.7289,0.999998,1
2.7389,0.999998,1
2.7489,0.999997,1
2.7589,0.999996,1
2.7689,0.999996,1
2.7789,0.999996,1
2.7889,0.999996,1
2.7990,0.999997,1
2.8181,0.999998,1
2.8189,0.999998,1
2.8290,0.999998,1
2.8389,0.999999,1
2.8489,0.999999,1
2.8589,0.999999,1
2.8689,0.999999,1
2.8789,0.999999,1
2.8889,0.999999,1
2.8989,0.999999,1
2.9186,0.999999,1
2.9195,0.999998,1
2.9289,0.999998,1
