time_s,label,confidence,p_fault
19.1514,normal,1.000000,0.000000
19.2519,normal,1.000000,0.000000
19.3517,normal,0.999999,0.000001
19.4515,normal,1.000000,0.000000
19.5515,normal,1.000000,0.000000
19.6513,normal,1.000000,0.000000
19.7512,normal,1.000000,0.000000
19.8513,normal,0.999980,0.000020
19.9520,normal,0.999997,0.000003
20.0514,normal,1.000000,0.000000
20.1510,normal,1.000000,0.000000
20.2511,normal,0.999998,0.000002
20.3515,normal,0.999952,0.000048
20.4512,normal,1.000000,0.000000
20.5515,normal,1.000000,0.000000
20.6510,normal,1.000000,0.000000
20.7514,normal,0.999984,0.000016
20.8512,normal,0.999987,0.000013
20.9513,normal,1.000000,0.000000
21.0518,normal,0.999997,0.000003
21.1518,normal,1.000000,0.000000
21.2514,normal,0.999999,0.000001
21.3513,normal,1.000000,0.000000
21.4513,normal,1.000000,0.000000
21.5514,normal,0.999974,0.000026
21.6511,normal,0.999999,0.000001
21.7515,normal,1.000000,0.000000
21.8516,normal,0.999988,0.000012
21.9515,normal,1.000000,0.000000
22.0514,normal,1.000000,0.000000
22.1512,normal,1.000000,0.000000
22.2513,normal,1.000000,0.000000
22.3512,normal,1.000000,0.000000
22.4516,normal,1.000000,0.000000
22.5517,normal,0.999987,0.000013
22.6516,normal,1.000000,0.000000
22.7521,normal,1.000000,0.000000
22.8521,normal,0.999981,0.000019
22.9512,normal,0.999997,0.000003
23.0517,normal,1.000000,0.000000
23.1512,normal,1.000000,0.000000
23.2516,normal,1.000000,0.000000
23.3514,normal,1.000000,0.000000
23.4520,normal,1.000000,0.000000
23.5517,normal,0.999984,0.000016
23.6514,normal,1.000000,0.000000
23.7520,normal,1.000000,0.000000
23.8515,normal,1.000000,0.000000
23.9513,normal,1.000000,0.000000
24.0517,normal,1.000000,0.000000
24.1512,normal,1.000000,0.000000
24.2513,normal,1.000000,0.000000
24.3516,normal,0.999987,0.000013
24.4512,normal,0.997503,0.002497
24.5519,normal,0.999714,0.000286
24.6514,normal,0.999996,0.000004
24.7519,normal,0.999992,0.000008
24.8516,normal,0.999972,0.000028
24.9514,normal,0.999999,0.000001
25.0514,normal,0.999463,0.000537
25.1516,normal,0.922236,0.077764
25.2516,normal,0.543819,0.456181
25.3697,normal,0.999752,0.000248
25.4563,normal,0.999650,0.000350
25.5514,normal,0.999999,0.000001
25.6515,normal,0.999983,0.000017
25.7515,normal,1.000000,0.000000
25.8515,normal,1.000000,0.000000
25.9514,normal,0.998079,0.001921
26.0515,normal,0.999701,0.000299
26.1516,normal,1.000000,0.000000
26.2516,normal,1.000000,0.000000
26.3516,normal,1.000000,0.000000
26.4517,normal,1.000000,0.000000
26.5515,normal,1.000000,0.000000
26.6515,normal,1.000000,0.000000
26.7519,normal,0.999999,0.000001
26.8520,normal,1.000000,0.000000
26.9520,normal,1.000000,0.000000
27.0518,normal,0.999999,0.000001
27.1514,normal,1.000000,0.000000
27.2519,normal,1.000000,0.000000
27.3504,normal,0.999773,0.000227
27.4507,normal,0.999997,0.000003
27.5508,normal,1.000000,0.000000
27.6504,normal,1.000000,0.000000
27.7505,normal,1.000000,0.000000
27.8508,normal,1.000000,0.000000
27.9510,normal,1.000000,0.000000
28.0507,normal,1.000000,0.000000
28.1507,normal,1.000000,0.000000
28.2507,normal,1.000000,0.000000
28.3507,normal,1.000000,0.000000
28.4505,normal,1.000000,0.000000
28.5509,normal,1.000000,0.000000
28.6508,normal,1.000000,0.000000
28.7507,normal,1.000000,0.000000
28.8511,normal,0.999998,0.000002
28.9506,normal,0.999993,0.000007
29.0507,normal,0.999767,0.000233
29.1506,normal,0.999999,0.000001
29.2507,normal,0.999999,0.000001
29.3508,normal,0.999997,0.000003
29.4511,normal,0.999667,0.000333
29.5507,normal,1.000000,0.000000
29.6505,normal,1.000000,0.000000
29.7507,normal,0.999999,0.000001
29.8510,normal,1.000000,0.000000
29.9506,normal,1.000000,0.000000
30.0506,normal,1.000000,0.000000
30.1506,normal,1.000000,0.000000
30.2504,normal,1.000000,0.000000
30.3508,normal,1.000000,0.000000
30.4512,normal,0.999959,0.000041
30.5507,normal,0.999906,0.000094
30.6506,normal,0.999785,0.000215
30.7508,normal,0.999985,0.000015
30.8508,normal,0.999965,0.000035
30.9508,normal,0.999942,0.000058
31.0509,normal,1.000000,0.000000
31.1518,normal,1.000000,0.000000
31.2509,normal,1.000000,0.000000
31.3508,normal,1.000000,0.000000
31.4505,normal,1.000000,0.000000
31.5507,normal,1.000000,0.000000
31.6509,normal,0.999900,0.000100
31.7508,normal,0.999996,0.000004
31.8508,normal,1.000000,0.000000
31.9511,normal,1.000000,0.000000
32.0514,normal,0.999973,0.000027
32.1508,normal,0.999996,0.000004
32.2509,normal,1.000000,0.000000
32.3511,normal,1.000000,0.000000
32.4508,normal,1.000000,0.000000
32.5508,normal,0.999999,0.000001
32.6509,normal,1.000000,0.000000
32.7508,normal,0.999999,0.000001
32.8514,normal,0.999983,0.000017
32.9509,normal,0.999028,0.000972
33.0508,normal,1.000000,0.000000
33.1507,normal,1.000000,0.000000
33.2508,normal,1.000000,0.000000
33.3508,normal,1.000000,0.000000
33.4507,normal,1.000000,0.000000
33.5515,normal,1.000000,0.000000
33.6510,normal,1.000000,0.000000
33.7510,normal,1.000000,0.000000
33.8509,normal,1.000000,0.000000
33.9508,normal,1.000000,0.000000
34.0509,normal,1.000000,0.000000
34.1508,normal,1.000000,0.000000
34.2510,normal,1.000000,0.000000
34.3510,normal,1.000000,0.000000
34.4512,normal,0.999999,0.000001
34.5512,normal,1.000000,0.000000
34.6509,normal,1.000000,0.000000
34.7511,normal,1.000000,0.000000
34.8513,normal,0.999999,0.000001
34.9519,normal,0.999998,0.000002
35.0510,normal,0.999949,0.000051
35.1509,normal,0.999990,0.000010
35.2515,normal,0.999993,0.000007
35.3512,normal,0.999999,0.000001
35.4512,normal,0.999986,0.000014
35.5510,normal,1.000000,0.000000
35.6507,normal,1.000000,0.000000
35.7511,normal,1.000000,0.000000
35.8509,normal,1.000000,0.000000
35.9511,normal,1.000000,0.000000
36.0509,normal,1.000000,0.000000
36.1530,normal,1.000000,0.000000
36.2515,normal,0.999995,0.000005
36.3501,normal,0.998808,0.001192
36.4499,normal,0.999402,0.000598
36.5500,normal,0.963622,0.036378
36.6501,normal,0.999971,0.000029
36.7499,normal,1.000000,0.000000
36.8500,normal,0.999661,0.000339
36.9499,normal,0.996212,0.003788
37.0500,normal,1.000000,0.000000
37.1505,normal,1.000000,0.000000
37.2502,normal,0.701371,0.298629
37.3504,normal,0.999676,0.000324
37.4502,normal,1.000000,0.000000
37.5501,normal,0.999999,0.000001
37.6501,normal,0.999938,0.000062
37.7502,normal,0.999901,0.000099
37.8508,normal,0.999957,0.000043
37.9500,normal,0.999979,0.000021
38.0501,normal,0.996195,0.003805
38.1502,normal,0.999999,0.000001
38.2499,normal,1.000000,0.000000
38.3502,normal,0.999717,0.000283
38.4501,normal,0.997639,0.002361
38.5501,normal,0.966123,0.033877
38.6500,normal,0.829755,0.170245
38.7505,normal,0.999991,0.000009
38.8506,normal,0.999994,0.000006
