time_s,p_fault,fault_bin
5.7380,1.000000,1
5.7480,1.000000,1
5.7580,1.000000,1
5.7680,1.000000,1
5.7780,1.000000,1
5.7880,1.000000,1
5.7980,1.000000,1
5.8080,0.999999,1
5.8180,0.999998,1
5.8280,0.999997,1
5.8380,0.999995,1
5.8480,0.999991,1
5.8580,0.999985,1
5.8680,0.999977,1
5.8780,0.999967,1
5.8880,0.999951,1
5.8980,0.999924,1
5.9080,0.999899,1
5.9180,0.999855,1
5.9280,0.999784,1
5.9380,0.999702,1
5.9480,0.999589,1
5.9580,0.999438,1
5.9680,0.999289,1
5.9780,0.999130,1
5.9880,0.999036,1
5.9980,0.998745,1
6.0080,0.998355,1
6.0180,0.997933,1
6.0280,0.997546,1
6.0380,0.997081,1
6.0480,0.996570,1
6.0580,0.996026,1
6.0680,0.995354,1
6.0780,0.994675,1
6.0880,0.994335,1
6.0980,0.993652,1
6.1080,0.992759,1
6.1180,0.992377,1
6.1280,0.991674,1
6.1380,0.990625,1
6.1480,0.989512,1
6.1580,0.988505,1
6.1680,0.987973,1
6.1780,0.986815,1
6.1880,0.985222,1
6.1980,0.984896,1
6.2080,0.983983,1
6.2180,0.984178,1
6.2280,0.983491,1
6.2380,0.981897,1
6.2480,0.981563,1
6.2580,0.980532,1
6.2680,0.978262,1
6.2780,0.975907,1
6.2880,0.974413,1
6.2980,0.974464,1
6.3080,0.972833,1
6.3180,0.970428,1
6.3280,0.967726,1
6.3380,0.963140,1
6.3480,0.957979,1
6.3580,0.952501,1
6.3680,0.945074,1
6.3780,0.936353,1
6.3880,0.926784,1
6.3980,0.915160,1
6.4080,0.904257,1
6.4200,0.892557,1
6.4280,0.878224,1
6.4380,0.863261,1
6.4480,0.854997,1
6.4580,0.846001,1
6.4680,0.832464,1
6.4780,0.821683,1
6.4880,0.814572,1
6.4980,0.804175,1
6.5080,0.797508,1
6.5180,0.788988,1
6.5280,0.780003,1
6.5380,0.768010,1
6.5480,0.765468,1
6.5580,0.761765,1
6.5680,0.755554,1
6.5790,0.747946,1
6.5880,0.738040,1
6.5980,0.724244,1
6.6080,0.704250,1
6.6180,0.693026,1
6.6280,0.680798,1
6.6380,0.669329,1
6.6480,0.653655,1
6.6580,0.648779,1
6.6690,0.643228,1
6.6780,0.631784,1
6.6880,0.636000,1
6.6980,0.645812,1
6.7080,0.653133,1
6.7180,0.665841,1
6.7280,0.719816,1
6.7380,0.769860,1
6.7480,0.793251,1
6.7580,0.829003,1
6.7680,0.855573,1
6.7780,0.866449,1
6.7880,0.877661,1
6.7980,0.904125,1
6.8080,0.920155,1
6.8180,0.923208,1
6.8280,0.925499,1
6.8380,0.930914,1
6.8480,0.933547,1
6.8580,0.935902,1
6.8680,0.938354,1
6.8780,0.940453,1
6.8880,0.937480,1
6.8980,0.934403,1
6.9080,0.932011,1
6.9180,0.929651,1
6.9280,0.924018,1
6.9380,0.926341,1
6.9480,0.937937,1
6.9590,0.943578,1
6.9680,0.946713,1
6.9780,0.952160,1
6.9880,0.959678,1
6.9980,0.960647,1
7.0080,0.971617,1
7.0180,0.979428,1
7.0280,0.985364,1
7.0380,0.990014,1
7.0480,0.992643,1
7.0580,0.995729,1
7.0680,0.997733,1
7.0780,0.998730,1
7.0880,0.999404,1
7.0990,0.999732,1
7.1080,0.999877,1
7.1180,0.999958,1
7.1280,0.999983,1
7.1380,0.999993,1
7.1480,0.999998,1
7.1580,0.999999,1
7.1680,1.000000,1
7.1780,1.000000,1
7.1880,1.000000,1
7.1980,1.000000,1
7.2080,1.000000,1
7.2180,1.000000,1
7.2280,1.000000,1
7.2390,1.000000,1
7.2480,1.000000,1
7.2580,0.999999,1
7.2690,0.999999,1
7.2780,0.999999,1
7.2880,0.999998,1
7.2980,0.999997,1
7.3090,0.999995,1
7.3180,0.999992,1
7.3290,0.999988,1
7.3380,0.999979,1
7.3490,0.999967,1
7.3580,0.999949,1
7.3680,0.999926,1
7.3780,0.999888,1
7.3880,0.999855,1
7.3980,0.999830,1
7.4080,0.999821,1
7.4180,0.999821,1
7.4280,0.999824,1
7.4390,0.999815,1
7.4480,0.999827,1
7.4580,0.999830,1
7.4680,0.999827,1
7.4780,0.999828,1
7.4880,0.999810,1
7.4980,0.999785,1
7.5090,0.999782,1
7.5180,0.999757,1
7.5280,0.999691,1
7.5380,0.999614,1
7.5480,0.999529,1
7.5580,0.999384,1
7.5680,0.999208,1
7.5780,0.999072,1
7.5880,0.998814,1
7.5980,0.998497,1
7.6080,0.998161,1
7.6180,0.997582,1
7.6280,0.996890,1
7.6380,0.995951,1
7.6480,0.994715,1
7.6580,0.993053,1
7.6680,0.991123,1
7.6780,0.989156,1
7.6890,0.986135,1
7.6980,0.982588,1
7.7080,0.979635,1
7.7180,0.976678,1
7.7280,0.974474,1
7.7380,0.969960,1
7.7480,0.965674,1
7.7580,0.962780,1
7.7680,0.958906,1
7.7780,0.955016,1
7.7880,0.951456,1
7.7980,0.948609,1
7.8080,0.949722,1
7.8180,0.948796,1
7.8290,0.951441,1
7.8380,0.953799,1
7.8490,0.955253,1
7.8580,0.953117,1
7.8680,0.949331,1
7.8780,0.942525,1
7.8880,0.934542,1
7.8980,0.932857,1
7.9080,0.928819,1
7.9180,0.925029,1
7.9290,0.914258,1
7.9380,0.901804,1
7.9490,0.895566,1
7.9580,0.881929,1
7.9690,0.865777,1
7.9780,0.847581,1
7.9890,0.831039,1
7.9980,0.821355,1
8.0080,0.805413,1
8.0180,0.788960,1
8.0280,0.768593,1
8.0380,0.748211,1
8.0480,0.726518,1
8.0580,0.702999,1
8.0680,0.677414,1
8.0780,0.651753,1
8.0880,0.633832,1
8.0980,0.608160,1
8.1080,0.610586,1
8.1180,0.612624,1
8.1280,0.599406,1
8.1390,0.610089,1
8.1480,0.586570,1
8.1580,0.584957,1
8.1680,0.572982,1
8.1780,0.560294,1
8.1880,0.549258,1
8.1980,0.528761,1
8.2080,0.512242,1
8.2180,0.494948,0
8.2280,0.476139,0
8.2380,0.469846,0
8.2480,0.461421,0
8.2590,0.472283,0
8.2690,0.463844,0
8.2790,0.451872,0
8.2880,0.428359,0
8.2980,0.406526,0
8.3090,0.387379,0
8.3180,0.369245,0
8.3280,0.354421,0
8.3380,0.341585,0
8.3480,0.322157,0
8.3590,0.304083,0
8.3690,0.284342,0
8.3780,0.267124,0
8.3880,0.252078,0
8.3980,0.264673,0
8.4080,0.277029,0
8.4180,0.297651,0
8.4280,0.301759,0
8.4380,0.289897,0
8.4480,0.277197,0
8.4580,0.269534,0
8.4690,0.272295,0
8.4780,0.271912,0
8.4880,0.283416,0
8.4980,0.289519,0
8.5090,0.305786,0
8.5190,0.320696,0
8.5240,0.319688,0
8.5370,0.335292,0
8.5480,0.370901,0
8.5570,0.436175,0
8.5670,0.482278,0
8.5780,0.528937,1
8.5870,0.552895,1
8.5970,0.551076,1
8.6070,0.547430,1
8.6170,0.522897,1
8.6280,0.509285,1
8.6370,0.502359,1
8.6480,0.502204,1
8.6570,0.500025,1
8.6670,0.498975,0
8.6780,0.538966,1
8.6870,0.572536,1
8.6970,0.606918,1
8.7070,0.627801,1
8.7180,0.660670,1
8.7270,0.673981,1
8.7380,0.686391,1
8.7470,0.689405,1
8.7570,0.695563,1
8.7670,0.705648,1
8.7770,0.709792,1
8.7880,0.755729,1
8.7970,0.773124,1
8.8080,0.771312,1
8.8180,0.765537,1
8.8270,0.760668,1
8.8370,0.751577,1
8.8470,0.739285,1
8.8570,0.722790,1
8.8670,0.708889,1
8.8770,0.699447,1
8.8870,0.689215,1
8.8980,0.700698,1
8.9080,0.687098,1
8.9180,0.661605,1
8.9270,0.638720,1
8.9370,0.612721,1
8.9470,0.587976,1
8.9570,0.569249,1
8.9670,0.549279,1
8.9770,0.533567,1
8.9880,0.548862,1
8.9970,0.579019,1
9.0070,0.606475,1
9.0180,0.621669,1
9.0270,0.648596,1
9.0380,0.668637,1
9.0470,0.662492,1
9.0580,0.655286,1
9.0680,0.645886,1
9.0780,0.638855,1
9.0880,0.631574,1
9.0970,0.622473,1
9.1080,0.620768,1
9.1170,0.619908,1
9.1280,0.628380,1
9.1390,0.617020,1
9.1480,0.602626,1
9.1580,0.601100,1
9.1680,0.601614,1
9.1780,0.598663,1
9.1880,0.606128,1
9.1980,0.626000,1
9.2080,0.606726,1
9.2180,0.587356,1
9.2280,0.576931,1
9.2380,0.569671,1
9.2490,0.561948,1
9.2580,0.567770,1
9.2680,0.552581,1
9.2780,0.552541,1
9.2880,0.547991,1
9.2980,0.537727,1
9.3080,0.535846,1
9.3170,0.534297,1
9.3280,0.530410,1
9.3370,0.547481,1
9.3470,0.559626,1
9.3580,0.568521,1
9.3670,0.578214,1
9.3780,0.599388,1
9.3870,0.603850,1
9.3980,0.666248,1
9.4080,0.717347,1
9.4180,0.754112,1
9.4280,0.801886,1
9.4370,0.830629,1
9.4480,0.871459,1
9.4570,0.901162,1
9.4680,0.919812,1
9.4780,0.935775,1
9.4880,0.944562,1
9.4980,0.954364,1
9.5080,0.962728,1
9.5180,0.962277,1
9.5280,0.961498,1
9.5370,0.961496,1
9.5480,0.957671,1
9.5580,0.953482,1
9.5680,0.949367,1
9.5780,0.943640,1
9.5880,0.939665,1
9.5980,0.933984,1
9.6080,0.927349,1
9.6180,0.920856,1
9.6280,0.912734,1
9.6380,0.905517,1
9.6480,0.892502,1
9.6580,0.877737,1
9.6680,0.861013,1
9.6780,0.844629,1
9.6880,0.826643,1
9.6980,0.815474,1
9.7080,0.806541,1
9.7180,0.796367,1
9.7280,0.781761,1
9.7380,0.769360,1
9.7480,0.761589,1
9.7580,0.737943,1
9.7680,0.720621,1
9.7780,0.713728,1
9.7880,0.697753,1
9.7980,0.713492,1
9.8080,0.724000,1
9.8180,0.741606,1
9.8280,0.749093,1
9.8380,0.758011,1
9.8480,0.755927,1
9.8580,0.787043,1
9.8680,0.796106,1
9.8780,0.820548,1
9.8880,0.844772,1
9.8980,0.845479,1
9.9080,0.862746,1
9.9180,0.875552,1
9.9280,0.887630,1
9.9380,0.894707,1
9.9480,0.899425,1
9.9580,0.911334,1
9.9680,0.919700,1
9.9780,0.932595,1
9.9880,0.945065,1
