time_seconds,type,message
0.209,"telemetry","packetCounter: 38832 | sampleTimeFine: 10473898 | Roll: -179.47° Pitch: 0.89° Yaw: -179.93° | Acc: (-0.15, -0.10, -9.81) m/s² | Gyro: (0.02, -0.18, -0.35) deg/s"
0.219,"telemetry","packetCounter: 38833 | sampleTimeFine: 10473998 | Roll: -179.48° Pitch: 0.89° Yaw: -179.93° | Acc: (-0.15, -0.10, -9.81) m/s² | Gyro: (-1.05, -0.45, -0.13) deg/s"
0.229,"telemetry","packetCounter: 38834 | sampleTimeFine: 10474098 | Roll: -179.49° Pitch: 0.90° Yaw: -179.93° | Acc: (-0.15, -0.10, -9.81) m/s² | Gyro: (-0.17, -0.67, -0.55) deg/s"
0.239,"telemetry","packetCounter: 38835 | sampleTimeFine: 10474198 | Roll: -179.49° Pitch: 0.90° Yaw: -179.92° | Acc: (-0.15, -0.11, -9.82) m/s² | Gyro: (-0.01, -0.33, -0.34) deg/s"
0.249,"telemetry","packetCounter: 38836 | sampleTimeFine: 10474298 | Roll: -179.49° Pitch: 0.91° Yaw: -179.92° | Acc: (-0.15, -0.11, -9.81) m/s² | Gyro: (0.02, -0.37, -0.49) deg/s"
0.259,"telemetry","packetCounter: 38837 | sampleTimeFine: 10474398 | Roll: -179.49° Pitch: 0.91° Yaw: -179.92° | Acc: (-0.15, -0.10, -9.81) m/s² | Gyro: (-0.25, -0.55, -0.59) deg/s"
0.269,"telemetry","packetCounter: 38838 | sampleTimeFine: 10474498 | Roll: -179.49° Pitch: 0.92° Yaw: -179.91° | Acc: (-0.15, -0.11, -9.82) m/s² | Gyro: (-0.78, -0.54, -0.38) deg/s"
0.279,"telemetry","packetCounter: 38839 | sampleTimeFine: 10474598 | Roll: -179.50° Pitch: 0.92° Yaw: -179.91° | Acc: (-0.16, -0.11, -9.81) m/s² | Gyro: (-0.04, -0.07, -0.15) deg/s"
0.289,"telemetry","packetCounter: 38840 | sampleTimeFine: 10474698 | Roll: -179.50° Pitch: 0.92° Yaw: -179.91° | Acc: (-0.15, -0.10, -9.81) m/s² | Gyro: (-0.23, -0.11, -0.12) deg/s"
0.299,"telemetry","packetCounter: 38841 | sampleTimeFine: 10474798 | Roll: -179.51° Pitch: 0.93° Yaw: -179.91° | Acc: (-0.16, -0.10, -9.81) m/s² | Gyro: (-0.77, -0.52, 0.28) deg/s"
