time_s,p_fault,fault_bin
4.5080,0.999996,1
4.5180,0.999996,1
4.5280,0.999997,1
4.5380,0.999997,1
4.5480,0.999997,1
4.5580,0.999997,1
4.5680,0.999998,1
4.5780,0.999998,1
4.5880,0.999998,1
4.5980,0.999999,1
4.6080,0.999999,1
4.6180,0.999999,1
4.6280,0.999999,1
4.6380,1.000000,1
4.6480,1.000000,1
4.6580,1.000000,1
4.6680,1.000000,1
4.6780,1.000000,1
4.6880,1.000000,1
4.6980,1.000000,1
4.7080,1.000000,1
4.7180,1.000000,1
4.7280,1.000000,1
4.7380,1.000000,1
4.7480,1.000000,1
4.7580,1.000000,1
4.7680,1.000000,1
4.7780,1.000000,1
4.7880,1.000000,1
4.7980,1.000000,1
4.8080,1.000000,1
4.8180,1.000000,1
4.8280,1.000000,1
4.8380,1.000000,1
4.8480,1.000000,1
4.8580,1.000000,1
4.8680,1.000000,1
4.8780,1.000000,1
4.8880,1.000000,1
4.8980,0.999999,1
4.9080,0.999999,1
4.9180,0.999999,1
4.9280,0.999998,1
4.9380,0.999998,1
4.9480,0.999997,1
4.9580,0.999996,1
4.9680,0.999995,1
4.9780,0.999994,1
4.9880,0.999992,1
4.9980,0.999991,1
5.0080,0.999989,1
5.0180,0.999986,1
5.0280,0.999982,1
5.0380,0.999978,1
5.0480,0.999975,1
5.0580,0.999974,1
5.0680,0.999974,1
5.0780,0.999975,1
5.0880,0.999976,1
5.0980,0.999976,1
5.1080,0.999967,1
5.1180,0.999958,1
5.1280,0.999956,1
5.1380,0.999940,1
5.1480,0.999918,1
5.1580,0.999917,1
5.1680,0.999934,1
5.1780,0.999942,1
5.1880,0.999959,1
5.1980,0.999981,1
5.2080,0.999990,1
5.2180,0.999997,1
5.2280,0.999999,1
5.2380,1.000000,1
5.2480,1.000000,1
5.2580,1.000000,1
5.2680,1.000000,1
5.2780,1.000000,1
5.2880,1.000000,1
5.2980,1.000000,1
5.3080,1.000000,1
5.3180,1.000000,1
5.3280,1.000000,1
5.3380,1.000000,1
5.3480,1.000000,1
5.3580,1.000000,1
5.3680,1.000000,1
5.3780,1.000000,1
5.3880,1.000000,1
5.3980,1.000000,1
5.4080,1.000000,1
5.4180,1.000000,1
5.4280,1.000000,1
5.4380,1.000000,1
5.4480,1.000000,1
5.4580,1.000000,1
5.4680,1.000000,1
5.4780,1.000000,1
5.4880,1.000000,1
5.4980,1.000000,1
5.5080,1.000000,1
5.5180,1.000000,1
5.5280,1.000000,1
5.5380,1.000000,1
5.5480,1.000000,1
5.5580,1.000000,1
5.5680,1.000000,1
5.5780,1.000000,1
5.5880,1.000000,1
5.5980,1.000000,1
5.6080,1.000000,1
5.6180,1.000000,1
5.6280,1.000000,1
5.6380,1.000000,1
5.6480,1.000000,1
5.6580,1.000000,1
5.6680,1.000000,1
5.6780,1.000000,1
5.6880,1.000000,1
5.6980,1.000000,1
5.7080,1.000000,1
5.7180,1.000000,1
5.7280,1.000000,1
5.7380,1.000000,1
5.7480,1.000000,1
5.7580,1.000000,1
5.7680,1.000000,1
5.7780,1.000000,1
5.7880,1.000000,1
5.7980,1.000000,1
5.8080,1.000000,1
5.8180,0.999999,1
5.8280,0.999998,1
5.8380,0.999997,1
5.8480,0.999994,1
5.8580,0.999990,1
5.8680,0.999985,1
5.8780,0.999978,1
5.8880,0.999966,1
5.8980,0.999947,1
5.9080,0.999930,1
5.9180,0.999897,1
5.9280,0.999845,1
5.9380,0.999783,1
5.9480,0.999697,1
5.9580,0.999581,1
5.9680,0.999468,1
5.9780,0.999346,1
5.9880,0.999275,1
5.9980,0.999046,1
6.0080,0.998738,1
6.0180,0.998403,1
6.0280,0.998093,1
6.0380,0.997726,1
6.0480,0.997319,1
6.0580,0.996887,1
6.0680,0.996351,1
6.0780,0.995804,1
6.0880,0.995553,1
6.0980,0.995008,1
6.1080,0.994292,1
6.1180,0.993979,1
6.1280,0.993398,1
6.1380,0.992520,1
6.1480,0.991587,1
6.1580,0.990743,1
6.1680,0.990283,1
6.1780,0.989281,1
6.1880,0.987908,1
6.1980,0.987616,1
6.2080,0.986817,1
