elapsed_s,prediction,confidence,p_deformed
8.010,0,0.9964,0.0036
8.110,0,0.7921,0.2079
8.210,0,0.7921,0.2079
8.310,0,0.7924,0.2076
8.410,0,0.7924,0.2076
8.510,0,0.5395,0.4605
8.610,0,0.5395,0.4605
8.710,0,0.5395,0.4605
8.810,0,0.5395,0.4605
8.910,0,0.5395,0.4605
9.010,0,0.5395,0.4605
9.110,0,0.5395,0.4605
9.210,0,0.4693,0.5307
9.310,0,0.5240,0.4760
9.410,0,0.5240,0.4760
9.510,0,0.5240,0.4760
9.610,0,0.5240,0.4760
9.710,0,0.5240,0.4760
9.810,0,0.7921,0.2079
9.910,0,0.7921,0.2079
10.010,0,0.7921,0.2079
10.110,0,0.7924,0.2076
10.210,0,0.7921,0.2079
10.310,0,0.5395,0.4605
10.410,0,0.7921,0.2079
10.510,0,0.7921,0.2079
10.610,0,0.7921,0.2079
10.710,0,0.7924,0.2076
10.810,0,0.5240,0.4760
10.910,0,0.5240,0.4760
11.010,0,0.5240,0.4760
11.110,0,0.5240,0.4760
11.210,0,0.7921,0.2079
11.309,0,0.7924,0.2076
11.410,0,0.7924,0.2076
11.510,0,0.7924,0.2076
11.610,0,0.4693,0.5307
11.710,0,0.4693,0.5307
11.810,0,0.4693,0.5307
11.910,0,0.7924,0.2076
12.010,0,0.7921,0.2079
12.110,0,0.7921,0.2079
12.210,0,0.7921,0.2079
12.310,0,0.7924,0.2076
12.410,0,0.7924,0.2076
12.510,0,0.7924,0.2076
12.610,0,0.5240,0.4760
12.710,0,0.7924,0.2076
12.810,0,0.7924,0.2076
12.910,0,0.7924,0.2076
13.010,0,0.7924,0.2076
13.110,0,0.7924,0.2076
13.210,0,0.4693,0.5307
13.310,0,0.7921,0.2079
13.410,0,0.7921,0.2079
13.510,0,0.7921,0.2079
13.610,0,0.7921,0.2079
13.710,0,0.7924,0.2076
13.810,0,0.7921,0.2079
13.910,0,0.7921,0.2079
14.010,0,0.5395,0.4605
14.110,0,0.5395,0.4605
14.210,0,0.5395,0.4605
14.310,0,0.5395,0.4605
14.410,0,0.9882,0.0118
