elapsed_s,prediction,confidence,p_deformed,p_deformed_ema
27.009,0,0.5347,0.4605,0.4653
27.109,0,0.5359,0.4605,0.4641
27.209,0,0.5368,0.4605,0.4632
27.309,0,0.5375,0.4605,0.4625
27.409,0,0.5380,0.4605,0.4620
27.510,0,0.5384,0.4605,0.4616
27.610,0,0.5387,0.4605,0.4613
27.710,0,0.5389,0.4605,0.4611
27.809,0,0.5391,0.4605,0.4609
27.909,0,0.5392,0.4605,0.4608
28.008,0,0.5393,0.4605,0.4607
28.108,0,0.5393,0.4605,0.4607
28.208,0,0.5394,0.4605,0.4606
28.309,0,0.6026,0.2079,0.3974
28.409,0,0.6499,0.2079,0.3501
28.509,0,0.6855,0.2079,0.3145
28.610,0,0.7121,0.2079,0.2879
28.710,0,0.7321,0.2079,0.2679
28.810,0,0.7471,0.2079,0.2529
28.910,0,0.7584,0.2079,0.2416
29.010,0,0.7668,0.2079,0.2332
29.110,0,0.7731,0.2079,0.2269
29.210,0,0.7147,0.4605,0.2853
29.310,0,0.6709,0.4605,0.3291
29.409,0,0.6381,0.4605,0.3619
29.512,0,0.6134,0.4605,0.3866
29.610,0,0.5950,0.4605,0.4050
29.710,0,0.5811,0.4605,0.4189
29.810,0,0.5707,0.4605,0.4293
29.910,0,0.5629,0.4605,0.4371
30.010,0,0.5571,0.4605,0.4429
30.110,0,0.5527,0.4605,0.4473
30.210,0,0.5494,0.4605,0.4506
30.310,0,0.5469,0.4605,0.4531
30.410,0,0.5451,0.4605,0.4549
30.510,0,0.5437,0.4605,0.4563
30.610,0,0.5427,0.4605,0.4573
30.710,0,0.5419,0.4605,0.4581
30.810,0,0.5413,0.4605,0.4587
30.910,0,0.6530,0.0118,0.3470
31.010,0,0.6247,0.4605,0.3753
31.110,0,0.6034,0.4605,0.3966
31.210,0,0.5874,0.4605,0.4126
31.310,0,0.5754,0.4605,0.4246
31.410,0,0.5665,0.4605,0.4335
31.510,0,0.5597,0.4605,0.4403
