elapsed_s,prediction,confidence,p_deformed,p_deformed_ema
43.830,1,0.9325,0.9972,0.9325
43.931,1,0.9479,0.9940,0.9479
44.069,1,0.9557,0.9793,0.9557
44.127,1,0.9518,0.9400,0.9518
44.233,1,0.9539,0.9602,0.9539
44.329,1,0.9571,0.9669,0.9571
44.430,1,0.9630,0.9807,0.9630
44.530,1,0.9657,0.9738,0.9657
44.630,1,0.9571,0.9310,0.9571
44.729,1,0.9441,0.9052,0.9441
44.831,1,0.9392,0.9245,0.9392
44.930,1,0.9378,0.9336,0.9378
45.030,1,0.9413,0.9520,0.9413
45.131,1,0.9410,0.9401,0.9410
45.231,1,0.9503,0.9779,0.9503
45.318,1,0.9591,0.9855,0.9591
45.431,1,0.9677,0.9935,0.9677
45.531,1,0.9757,1.0000,0.9757
45.631,1,0.9818,1.0000,0.9818
45.730,1,0.9864,1.0000,0.9864
45.831,1,0.9898,1.0000,0.9898
45.931,1,0.9917,0.9973,0.9917
46.031,1,0.9929,0.9965,0.9929
46.131,1,0.9928,0.9926,0.9928
46.230,1,0.9298,0.7409,0.9298
46.331,1,0.8451,0.5910,0.8451
46.430,1,0.7841,0.6009,0.7841
46.531,1,0.7383,0.6010,0.7383
46.632,1,0.6851,0.5256,0.6851
46.731,1,0.6534,0.5581,0.6534
46.831,1,0.6407,0.6026,0.6407
46.931,1,0.6357,0.6208,0.6357
47.031,1,0.6383,0.6462,0.6383
47.131,1,0.6415,0.6510,0.6415
47.231,1,0.6579,0.7070,0.6579
47.331,1,0.6512,0.6313,0.6512
47.431,1,0.6324,0.5758,0.6324
47.531,1,0.6286,0.6173,0.6286
47.631,1,0.6372,0.6630,0.6372
47.730,1,0.6324,0.6180,0.6324
47.831,1,0.6302,0.6235,0.6302
47.930,1,0.6218,0.5967,0.6218
