time_seconds,type,message
0.249,"telemetry","packetCounter: 61351 | sampleTimeFine: 12738423 | Roll: 178.70° Pitch: 1.57° Yaw: -179.96° | Acc: (-0.26, 0.02, -9.75) m/s² | Gyro: (-0.39, 0.40, 0.24) deg/s"
0.259,"telemetry","packetCounter: 61352 | sampleTimeFine: 12738523 | Roll: 178.69° Pitch: 1.58° Yaw: -179.96° | Acc: (-0.07, 0.15, -9.80) m/s² | Gyro: (-1.30, 0.08, 0.07) deg/s"
0.269,"telemetry","packetCounter: 61353 | sampleTimeFine: 12738623 | Roll: 178.69° Pitch: 1.57° Yaw: -179.96° | Acc: (-0.32, 0.02, -9.92) m/s² | Gyro: (0.58, 0.37, -0.63) deg/s"
0.279,"telemetry","packetCounter: 61354 | sampleTimeFine: 12738723 | Roll: 178.69° Pitch: 1.56° Yaw: -179.95° | Acc: (-0.10, 0.14, -9.78) m/s² | Gyro: (-1.14, 1.36, -0.29) deg/s"
0.289,"telemetry","packetCounter: 61355 | sampleTimeFine: 12738823 | Roll: 178.70° Pitch: 1.56° Yaw: -179.95° | Acc: (-0.32, 0.19, -9.75) m/s² | Gyro: (0.10, -0.72, -0.60) deg/s"
0.299,"telemetry","packetCounter: 61356 | sampleTimeFine: 12738923 | Roll: 178.68° Pitch: 1.56° Yaw: -179.94° | Acc: (-0.10, 0.24, -9.82) m/s² | Gyro: (-1.67, 1.78, -0.08) deg/s"
0.311,"vibration","📊 ВИБРАЦИЯ: X=0.0567 Y=0.0656 Z=0.4005 | TOTAL=0.4098 m/s²"
0.311,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.311,"telemetry","packetCounter: 61357 | sampleTimeFine: 12739023 | Roll: 178.67° Pitch: 1.57° Yaw: -179.94° | Acc: (-0.17, 0.22, -9.75) m/s² | Gyro: (0.34, -1.72, -0.32) deg/s"
0.321,"vibration","📊 ВИБРАЦИЯ: X=0.0570 Y=0.0669 Z=0.4009 | TOTAL=0.4104 m/s²"
0.321,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.321,"telemetry","packetCounter: 61358 | sampleTimeFine: 12739123 | Roll: 178.66° Pitch: 1.56° Yaw: -179.94° | Acc: (-0.13, 0.04, -9.89) m/s² | Gyro: (-0.76, 1.83, -0.76) deg/s"
0.331,"vibration","📊 ВИБРАЦИЯ: X=0.0606 Y=0.0674 Z=0.4009 | TOTAL=0.4110 m/s²"
0.331,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.331,"telemetry","packetCounter: 61359 | sampleTimeFine: 12739223 | Roll: 178.67° Pitch: 1.58° Yaw: -179.93° | Acc: (-0.03, 0.08, -9.82) m/s² | Gyro: (0.71, -2.70, -0.72) deg/s"
0.341,"vibration","📊 ВИБРАЦИЯ: X=0.0610 Y=0.0687 Z=0.4009 | TOTAL=0.4113 m/s²"
0.341,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.341,"telemetry","packetCounter: 61360 | sampleTimeFine: 12739323 | Roll: 178.67° Pitch: 1.56° Yaw: -179.92° | Acc: (-0.22, 0.03, -9.80) m/s² | Gyro: (0.35, 1.52, -0.34) deg/s"
0.351,"vibration","📊 ВИБРАЦИЯ: X=0.0649 Y=0.0692 Z=0.4008 | TOTAL=0.4119 m/s²"
0.351,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.351,"telemetry","packetCounter: 61361 | sampleTimeFine: 12739423 | Roll: 178.69° Pitch: 1.57° Yaw: -179.93° | Acc: (-0.01, 0.19, -9.76) m/s² | Gyro: (0.29, -1.62, 0.09) deg/s"
0.361,"vibration","📊 ВИБРАЦИЯ: X=0.0764 Y=0.0693 Z=0.4009 | TOTAL=0.4139 m/s²"
0.361,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.361,"telemetry","packetCounter: 61362 | sampleTimeFine: 12739523 | Roll: 178.69° Pitch: 1.56° Yaw: -179.92° | Acc: (-0.46, 0.15, -9.85) m/s² | Gyro: (0.71, 0.26, -0.48) deg/s"
0.371,"vibration","📊 ВИБРАЦИЯ: X=0.0797 Y=0.0695 Z=0.4009 | TOTAL=0.4146 m/s²"
0.371,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.371,"telemetry","packetCounter: 61363 | sampleTimeFine: 12739623 | Roll: 178.70° Pitch: 1.58° Yaw: -179.92° | Acc: (-0.01, 0.17, -9.83) m/s² | Gyro: (0.37, -0.84, 0.47) deg/s"
0.381,"vibration","📊 ВИБРАЦИЯ: X=0.0850 Y=0.0694 Z=0.4009 | TOTAL=0.4157 m/s²"
